id,name,country,current_season.id
1,Premier League,England,1058
3,La Liga,Spain,1307
4,Serie A,Italy,1375
5,Bundesliga,Germany,1091
6,Ligue 1,France,1311
7,Champions League,Europe,1112
8,Europa League,Europe,1269
12,Championship,England,1111
36,Liga F,Spain,1308
38,Segunda División,Spain,1356
39,FA Cup,England,1961
40,Carabao Cup,England,1092
41,Copa del Rey,Spain,1137
42,Coppa Italia,Italy,1155
43,DFB Pokal,Germany,1210
44,Coupe de France,France,1178
58,World Cup Qualification UEFA,Europe,1491
64,UEFA Nations League,Europe,1430
66,UEFA Euro 2024,Europe,1413
71,UEFA European U19 Championship,Europe,1522
83,Conference League,Europe,1606
86,League One,England,1655
87,League Two,England,1674
89,Ligue 2,France,1848
90,UEFA Super Cup,Europe,1880
91,National League,England,1903
