id,league_id,season_id,home_team_id,home_team,away_team_id,away_team,home_coach_id,away_coach_id,referee_id,venue_id,event_date,status,replaced_by,round_number,round_name,group_name,period,current_minute,home_score,away_score,home_score_ht,away_score_ht,penalty_shootout,extra_time_score,is_local_derby,is_neutral_ground,travel_distance_km,pitch_condition,attendance,live_websocket,websocket_plus,highlights,has_xg,previous_leg_event_id,weather.code,weather.description,weather.wind_speed,weather.temperature_c,head_to_head.total_matches,head_to_head.home_wins,head_to_head.draws,head_to_head.away_wins,head_to_head.home_goals,head_to_head.away_goals,head_to_head.avg_total_goals,head_to_head.home_win_rate,head_to_head.away_win_rate,head_to_head.recent_matches
213569,3,1307,41,Villarreal,56,Real Betis,205,287,,41,2026-09-13T19:00:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,False,[],False,,3.0,rain,13.2,24.0,44,17,11,16,65,61,2.8636363636363638,0.38636363636363635,0.36363636363636365,"[{'away': 'Villarreal', 'date': '2026-01-17T20:00:00+00:00', 'home': 'Real Betis', 'score': '2-0', 'event_id': 888, 'away_score': 0, 'home_score': 2, 'away_team_id': 41, 'home_team_id': 56}, {'away': 'Real Betis', 'date': '2025-10-18T16:30:00+00:00', 'home': 'Villarreal', 'score': '2-2', 'event_id': 774, 'away_score': 2, 'home_score': 2, 'away_team_id': 56, 'home_team_id': 41}, {'away': 'Villarreal', 'date': '2025-04-13T16:30:00+00:00', 'home': 'Real Betis', 'score': '1-2', 'event_id': 305661, 'away_score': 2, 'home_score': 1, 'away_team_id': 41, 'home_team_id': 56}, {'away': 'Real Betis', 'date': '2024-12-15T17:30:00+00:00', 'home': 'Villarreal', 'score': '1-2', 'event_id': 305522, 'away_score': 2, 'home_score': 1, 'away_team_id': 56, 'home_team_id': 41}, {'away': 'Villarreal', 'date': '2024-03-10T20:00:00+00:00', 'home': 'Real Betis', 'score': '2-3', 'event_id': 311096, 'away_score': 3, 'home_score': 2, 'away_team_id': 41, 'home_team_id': 56}, {'away': 'Real Betis', 'date': '2023-08-13T17:30:00+00:00', 'home': 'Villarreal', 'score': '1-2', 'event_id': 310822, 'away_score': 2, 'home_score': 1, 'away_team_id': 56, 'home_team_id': 41}, {'away': 'Real Betis', 'date': '2023-03-12T17:30:00+00:00', 'home': 'Villarreal', 'score': '1-1', 'event_id': 316078, 'away_score': 1, 'home_score': 1, 'away_team_id': 56, 'home_team_id': 41}, {'away': 'Villarreal', 'date': '2022-09-11T19:00:00+00:00', 'home': 'Real Betis', 'score': '1-0', 'event_id': 315879, 'away_score': 0, 'home_score': 1, 'away_team_id': 41, 'home_team_id': 56}, {'away': 'Villarreal', 'date': '2022-02-06T17:30:00+00:00', 'home': 'Real Betis', 'score': '0-2', 'event_id': 319822, 'away_score': 2, 'home_score': 0, 'away_team_id': 41, 'home_team_id': 56}, {'away': 'Real Betis', 'date': '2021-10-03T16:30:00+00:00', 'home': 'Villarreal', 'score': '2-0', 'event_id': 319669, 'away_score': 0, 'home_score': 2, 'away_team_id': 56, 'home_team_id': 41}]"
213568,3,1307,52,Sevilla,47,Valencia,424,395,,52,2026-09-13T19:00:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,False,[],False,,1.0,clear,24.1,28.0,107,39,24,44,117,138,2.383177570093458,0.3644859813084112,0.411214953271028,"[{'away': 'Valencia', 'date': '2026-03-21T20:00:00+00:00', 'home': 'Sevilla', 'score': '0-2', 'event_id': 979, 'away_score': 2, 'home_score': 0, 'away_team_id': 47, 'home_team_id': 52}, {'away': 'Sevilla', 'date': '2025-12-07T15:15:00+00:00', 'home': 'Valencia', 'score': '1-1', 'event_id': 837, 'away_score': 1, 'home_score': 1, 'away_team_id': 52, 'home_team_id': 47}, {'away': 'Sevilla', 'date': '2025-04-11T19:00:00+00:00', 'home': 'Valencia', 'score': '1-0', 'event_id': 305654, 'away_score': 0, 'home_score': 1, 'away_team_id': 52, 'home_team_id': 47}, {'away': 'Valencia', 'date': '2025-01-11T20:00:00+00:00', 'home': 'Sevilla', 'score': '1-1', 'event_id': 305540, 'away_score': 1, 'home_score': 1, 'away_team_id': 47, 'home_team_id': 52}, {'away': 'Sevilla', 'date': '2024-02-17T20:00:00+00:00', 'home': 'Valencia', 'score': '0-0', 'event_id': 311062, 'away_score': 0, 'home_score': 0, 'away_team_id': 52, 'home_team_id': 47}, {'away': 'Valencia', 'date': '2023-08-11T20:00:00+00:00', 'home': 'Sevilla', 'score': '1-2', 'event_id': 310817, 'away_score': 2, 'home_score': 1, 'away_team_id': 47, 'home_team_id': 52}, {'away': 'Sevilla', 'date': '2023-04-16T19:00:00+00:00', 'home': 'Valencia', 'score': '0-2', 'event_id': 316119, 'away_score': 2, 'home_score': 0, 'away_team_id': 52, 'home_team_id': 47}, {'away': 'Valencia', 'date': '2022-10-18T17:00:00+00:00', 'home': 'Sevilla', 'score': '1-1', 'event_id': 315921, 'away_score': 1, 'home_score': 1, 'away_team_id': 47, 'home_team_id': 52}, {'away': 'Sevilla', 'date': '2022-01-19T20:30:00+00:00', 'home': 'Valencia', 'score': '1-1', 'event_id': 319799, 'away_score': 1, 'home_score': 1, 'away_team_id': 52, 'home_team_id': 47}, {'away': 'Valencia', 'date': '2021-09-22T17:30:00+00:00', 'home': 'Sevilla', 'score': '3-1', 'event_id': 319645, 'away_score': 1, 'home_score': 3, 'away_team_id': 47, 'home_team_id': 52}]"
213567,3,1307,48,Real Sociedad,54,Atlético Madrid,229,319,,48,2026-09-13T19:00:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,True,[],False,,2.0,cloudy,6.9,16.0,108,29,25,54,112,180,2.7037037037037037,0.26851851851851855,0.5,"[{'away': 'Real Sociedad', 'date': '2026-04-18T19:00:00+00:00', 'home': 'Atlético Madrid', 'score': '2-2', 'event_id': 203346, 'away_score': 2, 'home_score': 2, 'away_team_id': 48, 'home_team_id': 54}, {'away': 'Real Sociedad', 'date': '2026-03-07T17:30:00+00:00', 'home': 'Atlético Madrid', 'score': '3-2', 'event_id': 952, 'away_score': 2, 'home_score': 3, 'away_team_id': 48, 'home_team_id': 54}, {'away': 'Atlético Madrid', 'date': '2026-01-04T20:00:00+00:00', 'home': 'Real Sociedad', 'score': '1-1', 'event_id': 870, 'away_score': 1, 'home_score': 1, 'away_team_id': 54, 'home_team_id': 48}, {'away': 'Real Sociedad', 'date': '2025-05-10T19:00:00+00:00', 'home': 'Atlético Madrid', 'score': '4-0', 'event_id': 305699, 'away_score': 0, 'home_score': 4, 'away_team_id': 48, 'home_team_id': 54}, {'away': 'Atlético Madrid', 'date': '2024-10-06T19:00:00+00:00', 'home': 'Real Sociedad', 'score': '1-1', 'event_id': 305440, 'away_score': 1, 'home_score': 1, 'away_team_id': 54, 'home_team_id': 48}, {'away': 'Atlético Madrid', 'date': '2024-05-25T14:15:00+00:00', 'home': 'Real Sociedad', 'score': '0-2', 'event_id': 311190, 'away_score': 2, 'home_score': 0, 'away_team_id': 54, 'home_team_id': 48}, {'away': 'Real Sociedad', 'date': '2023-10-08T14:15:00+00:00', 'home': 'Atlético Madrid', 'score': '2-1', 'event_id': 310903, 'away_score': 1, 'home_score': 2, 'away_team_id': 48, 'home_team_id': 54}, {'away': 'Real Sociedad', 'date': '2023-05-28T17:00:00+00:00', 'home': 'Atlético Madrid', 'score': '2-1', 'event_id': 316194, 'away_score': 1, 'home_score': 2, 'away_team_id': 48, 'home_team_id': 54}, {'away': 'Atlético Madrid', 'date': '2022-09-03T16:30:00+00:00', 'home': 'Real Sociedad', 'score': '1-1', 'event_id': 315864, 'away_score': 1, 'home_score': 1, 'away_team_id': 54, 'home_team_id': 48}, {'away': 'Atlético Madrid', 'date': '2022-05-22T20:00:00+00:00', 'home': 'Real Sociedad', 'score': '1-2', 'event_id': 319973, 'away_score': 2, 'home_score': 1, 'away_team_id': 54, 'home_team_id': 48}]"
213566,3,1307,1400,Real Racing Club,45,Deportivo Alavés,822,441,,852,2026-09-13T19:00:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,False,[],False,,,,,,15,5,5,5,17,20,2.466666666666667,0.3333333333333333,0.3333333333333333,"[{'away': 'Deportivo Alavés', 'date': '2026-08-07T17:30:00+00:00', 'home': 'Real Racing Club', 'score': '1-1', 'event_id': 219652, 'away_score': 1, 'home_score': 1, 'away_team_id': 45, 'home_team_id': 1400}, {'away': 'Real Racing Club', 'date': '2023-01-21T20:00:00+00:00', 'home': 'Deportivo Alavés', 'score': '3-0', 'event_id': 259721, 'away_score': 0, 'home_score': 3, 'away_team_id': 1400, 'home_team_id': 45}, {'away': 'Deportivo Alavés', 'date': '2022-11-01T17:30:00+00:00', 'home': 'Real Racing Club', 'score': '1-1', 'event_id': 259609, 'away_score': 1, 'home_score': 1, 'away_team_id': 45, 'home_team_id': 1400}, {'away': 'Real Racing Club', 'date': '2015-03-28T17:00:00+00:00', 'home': 'Deportivo Alavés', 'score': '2-1', 'event_id': 401983, 'away_score': 1, 'home_score': 2, 'away_team_id': 1400, 'home_team_id': 45}, {'away': 'Deportivo Alavés', 'date': '2014-10-25T16:00:00+00:00', 'home': 'Real Racing Club', 'score': '1-1', 'event_id': 401748, 'away_score': 1, 'home_score': 1, 'away_team_id': 45, 'home_team_id': 1400}, {'away': 'Real Racing Club', 'date': '2006-02-26T16:00:00+00:00', 'home': 'Deportivo Alavés', 'score': '2-2', 'event_id': 493896, 'away_score': 2, 'home_score': 2, 'away_team_id': 1400, 'home_team_id': 45}, {'away': 'Deportivo Alavés', 'date': '2005-10-02T15:00:00+00:00', 'home': 'Real Racing Club', 'score': '1-2', 'event_id': 493706, 'away_score': 2, 'home_score': 1, 'away_team_id': 45, 'home_team_id': 1400}, {'away': 'Deportivo Alavés', 'date': '2003-02-09T16:00:00+00:00', 'home': 'Real Racing Club', 'score': '2-0', 'event_id': 504997, 'away_score': 0, 'home_score': 2, 'away_team_id': 45, 'home_team_id': 1400}, {'away': 'Real Racing Club', 'date': '2002-09-15T16:00:00+00:00', 'home': 'Deportivo Alavés', 'score': '0-1', 'event_id': 504808, 'away_score': 1, 'home_score': 0, 'away_team_id': 1400, 'home_team_id': 45}, {'away': 'Real Racing Club', 'date': '2001-05-06T16:00:00+00:00', 'home': 'Deportivo Alavés', 'score': '5-1', 'event_id': 512023, 'away_score': 1, 'home_score': 5, 'away_team_id': 1400, 'home_team_id': 45}]"
213565,3,1307,57,Real Madrid,40,Rayo Vallecano,17,817,,57,2026-09-13T19:00:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,False,[],False,,0.0,unknown,17.1,27.0,46,33,7,6,117,48,3.5869565217391304,0.717391304347826,0.13043478260869565,"[{'away': 'Rayo Vallecano', 'date': '2026-02-01T13:00:00+00:00', 'home': 'Real Madrid', 'score': '2-1', 'event_id': 909, 'away_score': 1, 'home_score': 2, 'away_team_id': 40, 'home_team_id': 57}, {'away': 'Real Madrid', 'date': '2025-11-09T15:15:00+00:00', 'home': 'Rayo Vallecano', 'score': '0-0', 'event_id': 807, 'away_score': 0, 'home_score': 0, 'away_team_id': 57, 'home_team_id': 40}, {'away': 'Rayo Vallecano', 'date': '2025-03-09T15:15:00+00:00', 'home': 'Real Madrid', 'score': '2-1', 'event_id': 305618, 'away_score': 1, 'home_score': 2, 'away_team_id': 40, 'home_team_id': 57}, {'away': 'Real Madrid', 'date': '2024-12-14T20:00:00+00:00', 'home': 'Rayo Vallecano', 'score': '3-3', 'event_id': 305518, 'away_score': 3, 'home_score': 3, 'away_team_id': 57, 'home_team_id': 40}, {'away': 'Real Madrid', 'date': '2024-02-18T13:00:00+00:00', 'home': 'Rayo Vallecano', 'score': '1-1', 'event_id': 311063, 'away_score': 1, 'home_score': 1, 'away_team_id': 57, 'home_team_id': 40}, {'away': 'Rayo Vallecano', 'date': '2023-11-05T20:00:00+00:00', 'home': 'Real Madrid', 'score': '0-0', 'event_id': 310935, 'away_score': 0, 'home_score': 0, 'away_team_id': 40, 'home_team_id': 57}, {'away': 'Rayo Vallecano', 'date': '2023-05-24T17:30:00+00:00', 'home': 'Real Madrid', 'score': '2-1', 'event_id': 316185, 'away_score': 1, 'home_score': 2, 'away_team_id': 40, 'home_team_id': 57}, {'away': 'Real Madrid', 'date': '2022-11-07T20:00:00+00:00', 'home': 'Rayo Vallecano', 'score': '3-2', 'event_id': 315960, 'away_score': 2, 'home_score': 3, 'away_team_id': 57, 'home_team_id': 40}, {'away': 'Real Madrid', 'date': '2022-02-26T17:30:00+00:00', 'home': 'Rayo Vallecano', 'score': '0-1', 'event_id': 319848, 'away_score': 1, 'home_score': 0, 'away_team_id': 57, 'home_team_id': 40}, {'away': 'Rayo Vallecano', 'date': '2021-11-06T20:00:00+00:00', 'home': 'Real Madrid', 'score': '2-1', 'event_id': 319717, 'away_score': 1, 'home_score': 2, 'away_team_id': 40, 'home_team_id': 57}]"
213564,3,1307,58,Osasuna,53,Espanyol,826,288,,58,2026-09-13T19:00:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,False,[],False,,0.0,unknown,20.8,14.0,65,28,16,21,74,57,2.0153846153846153,0.4307692307692308,0.3230769230769231,"[{'away': 'Espanyol', 'date': '2026-05-17T17:00:00+00:00', 'home': 'Osasuna', 'score': '1-2', 'event_id': 1056, 'away_score': 2, 'home_score': 1, 'away_team_id': 53, 'home_team_id': 58}, {'away': 'Osasuna', 'date': '2025-08-31T17:30:00+00:00', 'home': 'Espanyol', 'score': '1-0', 'event_id': 718, 'away_score': 0, 'home_score': 1, 'away_team_id': 58, 'home_team_id': 53}, {'away': 'Espanyol', 'date': '2025-05-18T17:00:00+00:00', 'home': 'Osasuna', 'score': '2-0', 'event_id': 305718, 'away_score': 0, 'home_score': 2, 'away_team_id': 53, 'home_team_id': 58}, {'away': 'Osasuna', 'date': '2024-12-14T13:00:00+00:00', 'home': 'Espanyol', 'score': '0-0', 'event_id': 305515, 'away_score': 0, 'home_score': 0, 'away_team_id': 58, 'home_team_id': 53}, {'away': 'Osasuna', 'date': '2023-02-04T13:00:00+00:00', 'home': 'Espanyol', 'score': '1-1', 'event_id': 316022, 'away_score': 1, 'home_score': 1, 'away_team_id': 58, 'home_team_id': 53}, {'away': 'Espanyol', 'date': '2022-10-20T18:00:00+00:00', 'home': 'Osasuna', 'score': '1-0', 'event_id': 315929, 'away_score': 0, 'home_score': 1, 'away_team_id': 53, 'home_team_id': 58}, {'away': 'Osasuna', 'date': '2022-05-08T16:30:00+00:00', 'home': 'Espanyol', 'score': '1-1', 'event_id': 319943, 'away_score': 1, 'home_score': 1, 'away_team_id': 58, 'home_team_id': 53}, {'away': 'Espanyol', 'date': '2021-08-14T20:00:00+00:00', 'home': 'Osasuna', 'score': '0-0', 'event_id': 319593, 'away_score': 0, 'home_score': 0, 'away_team_id': 53, 'home_team_id': 58}, {'away': 'Osasuna', 'date': '2021-01-17T11:00:00+00:00', 'home': 'Espanyol', 'score': '0-2', 'event_id': 277148, 'away_score': 2, 'home_score': 0, 'away_team_id': 58, 'home_team_id': 53}, {'away': 'Espanyol', 'date': '2020-03-08T11:00:00+00:00', 'home': 'Osasuna', 'score': '1-0', 'event_id': 327978, 'away_score': 0, 'home_score': 1, 'away_team_id': 53, 'home_team_id': 58}]"
213563,3,1307,46,Levante UD,44,FC Barcelona,230,320,,46,2026-09-13T19:00:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,False,[],False,,3.0,rain,19.8,24.0,34,3,5,26,30,98,3.764705882352941,0.08823529411764706,0.7647058823529411,"[{'away': 'Levante UD', 'date': '2026-02-22T15:15:00+00:00', 'home': 'FC Barcelona', 'score': '3-0', 'event_id': 933, 'away_score': 0, 'home_score': 3, 'away_team_id': 46, 'home_team_id': 44}, {'away': 'FC Barcelona', 'date': '2025-08-23T19:30:00+00:00', 'home': 'Levante UD', 'score': '2-3', 'event_id': 703, 'away_score': 3, 'home_score': 2, 'away_team_id': 44, 'home_team_id': 46}, {'away': 'FC Barcelona', 'date': '2022-04-10T19:00:00+00:00', 'home': 'Levante UD', 'score': '2-3', 'event_id': 319903, 'away_score': 3, 'home_score': 2, 'away_team_id': 44, 'home_team_id': 46}, {'away': 'Levante UD', 'date': '2021-09-26T14:15:00+00:00', 'home': 'FC Barcelona', 'score': '3-0', 'event_id': 319656, 'away_score': 0, 'home_score': 3, 'away_team_id': 46, 'home_team_id': 44}, {'away': 'FC Barcelona', 'date': '2021-05-11T20:00:00+00:00', 'home': 'Levante UD', 'score': '3-3', 'event_id': 323619, 'away_score': 3, 'home_score': 3, 'away_team_id': 44, 'home_team_id': 46}, {'away': 'Levante UD', 'date': '2020-12-13T20:00:00+00:00', 'home': 'FC Barcelona', 'score': '1-0', 'event_id': 323394, 'away_score': 0, 'home_score': 1, 'away_team_id': 46, 'home_team_id': 44}, {'away': 'Levante UD', 'date': '2020-02-02T20:00:00+00:00', 'home': 'FC Barcelona', 'score': '2-1', 'event_id': 327931, 'away_score': 1, 'home_score': 2, 'away_team_id': 46, 'home_team_id': 44}, {'away': 'FC Barcelona', 'date': '2019-11-02T15:00:00+00:00', 'home': 'Levante UD', 'score': '3-1', 'event_id': 327823, 'away_score': 1, 'home_score': 3, 'away_team_id': 44, 'home_team_id': 46}, {'away': 'Levante UD', 'date': '2019-04-27T18:45:00+00:00', 'home': 'FC Barcelona', 'score': '1-0', 'event_id': 332239, 'away_score': 0, 'home_score': 1, 'away_team_id': 46, 'home_team_id': 44}, {'away': 'Levante UD', 'date': '2019-01-17T20:30:00+00:00', 'home': 'FC Barcelona', 'score': '3-0', 'event_id': 298406, 'away_score': 0, 'home_score': 3, 'away_team_id': 46, 'home_team_id': 44}]"
213562,3,1307,50,Getafe,1260,Deportivo de A Coruña,371,821,,50,2026-09-13T19:00:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,False,[],False,,0.0,unknown,9.0,27.0,22,8,7,7,31,23,2.4545454545454546,0.36363636363636365,0.3181818181818182,"[{'away': 'Deportivo de A Coruña', 'date': '2018-02-28T18:30:00+00:00', 'home': 'Getafe', 'score': '3-0', 'event_id': 347123, 'away_score': 0, 'home_score': 3, 'away_team_id': 1260, 'home_team_id': 50}, {'away': 'Getafe', 'date': '2017-09-30T11:00:00+00:00', 'home': 'Deportivo de A Coruña', 'score': '2-1', 'event_id': 346930, 'away_score': 1, 'home_score': 2, 'away_team_id': 50, 'home_team_id': 1260}, {'away': 'Getafe', 'date': '2016-05-01T16:15:00+00:00', 'home': 'Deportivo de A Coruña', 'score': '0-2', 'event_id': 381375, 'away_score': 2, 'home_score': 0, 'away_team_id': 50, 'home_team_id': 1260}, {'away': 'Deportivo de A Coruña', 'date': '2015-12-30T19:30:00+00:00', 'home': 'Getafe', 'score': '0-0', 'event_id': 381185, 'away_score': 0, 'home_score': 0, 'away_team_id': 1260, 'home_team_id': 50}, {'away': 'Deportivo de A Coruña', 'date': '2015-04-05T17:00:00+00:00', 'home': 'Getafe', 'score': '2-1', 'event_id': 396397, 'away_score': 1, 'home_score': 2, 'away_team_id': 1260, 'home_team_id': 50}, {'away': 'Getafe', 'date': '2014-10-31T19:45:00+00:00', 'home': 'Deportivo de A Coruña', 'score': '1-2', 'event_id': 396200, 'away_score': 2, 'home_score': 1, 'away_team_id': 50, 'home_team_id': 1260}, {'away': 'Deportivo de A Coruña', 'date': '2013-02-02T17:00:00+00:00', 'home': 'Getafe', 'score': '3-1', 'event_id': 426056, 'away_score': 1, 'home_score': 3, 'away_team_id': 1260, 'home_team_id': 50}, {'away': 'Getafe', 'date': '2012-09-01T18:00:00+00:00', 'home': 'Deportivo de A Coruña', 'score': '1-1', 'event_id': 425865, 'away_score': 1, 'home_score': 1, 'away_team_id': 50, 'home_team_id': 1260}, {'away': 'Deportivo de A Coruña', 'date': '2011-02-05T17:00:00+00:00', 'home': 'Getafe', 'score': '4-1', 'event_id': 452983, 'away_score': 1, 'home_score': 4, 'away_team_id': 1260, 'home_team_id': 50}, {'away': 'Getafe', 'date': '2010-09-20T19:00:00+00:00', 'home': 'Deportivo de A Coruña', 'score': '2-2', 'event_id': 452800, 'away_score': 2, 'home_score': 2, 'away_team_id': 50, 'home_team_id': 1260}]"
213561,3,1307,49,Celta Vigo,1259,Málaga CF,396,820,,49,2026-09-13T12:00:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,True,[],False,,0.0,unknown,14.8,19.0,42,14,15,13,53,46,2.357142857142857,0.3333333333333333,0.30952380952380953,"[{'away': 'Málaga CF', 'date': '2018-03-18T17:30:00+00:00', 'home': 'Celta Vigo', 'score': '0-0', 'event_id': 347157, 'away_score': 0, 'home_score': 0, 'away_team_id': 1259, 'home_team_id': 49}, {'away': 'Celta Vigo', 'date': '2017-10-29T19:45:00+00:00', 'home': 'Málaga CF', 'score': '2-1', 'event_id': 346966, 'away_score': 1, 'home_score': 2, 'away_team_id': 49, 'home_team_id': 1259}, {'away': 'Celta Vigo', 'date': '2017-05-07T18:45:00+00:00', 'home': 'Málaga CF', 'score': '3-0', 'event_id': 362266, 'away_score': 0, 'home_score': 3, 'away_team_id': 49, 'home_team_id': 1259}, {'away': 'Málaga CF', 'date': '2017-01-08T17:30:00+00:00', 'home': 'Celta Vigo', 'score': '3-1', 'event_id': 362073, 'away_score': 1, 'home_score': 3, 'away_team_id': 1259, 'home_team_id': 49}, {'away': 'Málaga CF', 'date': '2016-05-08T15:00:00+00:00', 'home': 'Celta Vigo', 'score': '1-0', 'event_id': 381378, 'away_score': 0, 'home_score': 1, 'away_team_id': 1259, 'home_team_id': 49}, {'away': 'Celta Vigo', 'date': '2016-01-02T21:05:00+00:00', 'home': 'Málaga CF', 'score': '2-0', 'event_id': 381190, 'away_score': 0, 'home_score': 2, 'away_team_id': 49, 'home_team_id': 1259}, {'away': 'Málaga CF', 'date': '2015-04-29T18:00:00+00:00', 'home': 'Celta Vigo', 'score': '1-0', 'event_id': 396443, 'away_score': 0, 'home_score': 1, 'away_team_id': 1259, 'home_team_id': 49}, {'away': 'Celta Vigo', 'date': '2014-12-13T21:00:00+00:00', 'home': 'Málaga CF', 'score': '1-0', 'event_id': 396254, 'away_score': 0, 'home_score': 1, 'away_team_id': 49, 'home_team_id': 1259}, {'away': 'Málaga CF', 'date': '2014-03-21T20:00:00+00:00', 'home': 'Celta Vigo', 'score': '0-2', 'event_id': 411743, 'away_score': 2, 'home_score': 0, 'away_team_id': 1259, 'home_team_id': 49}, {'away': 'Celta Vigo', 'date': '2013-10-26T14:00:00+00:00', 'home': 'Málaga CF', 'score': '0-5', 'event_id': 411554, 'away_score': 5, 'home_score': 0, 'away_team_id': 49, 'home_team_id': 1259}]"
213560,3,1307,51,Athletic Club,55,Elche,1992,1869,,51,2026-09-12T16:30:00+00:00,notstarted,,5,,,,,,,,,,,False,False,,,,False,True,[],False,,,,,,31,11,11,9,36,28,2.064516129032258,0.3548387096774194,0.2903225806451613,"[{'away': 'Elche', 'date': '2026-02-20T20:00:00+00:00', 'home': 'Athletic Club', 'score': '2-1', 'event_id': 931, 'away_score': 1, 'home_score': 2, 'away_team_id': 55, 'home_team_id': 51}, {'away': 'Athletic Club', 'date': '2025-10-19T12:00:00+00:00', 'home': 'Elche', 'score': '0-0', 'event_id': 776, 'away_score': 0, 'home_score': 0, 'away_team_id': 51, 'home_team_id': 55}, {'away': 'Elche', 'date': '2023-05-28T17:00:00+00:00', 'home': 'Athletic Club', 'score': '0-1', 'event_id': 316193, 'away_score': 1, 'home_score': 0, 'away_team_id': 55, 'home_team_id': 51}, {'away': 'Athletic Club', 'date': '2022-09-11T14:15:00+00:00', 'home': 'Elche', 'score': '1-4', 'event_id': 315877, 'away_score': 4, 'home_score': 1, 'away_team_id': 51, 'home_team_id': 55}, {'away': 'Elche', 'date': '2022-04-03T12:00:00+00:00', 'home': 'Athletic Club', 'score': '2-1', 'event_id': 319889, 'away_score': 1, 'home_score': 2, 'away_team_id': 55, 'home_team_id': 51}, {'away': 'Athletic Club', 'date': '2021-08-16T20:00:00+00:00', 'home': 'Elche', 'score': '0-0', 'event_id': 319598, 'away_score': 0, 'home_score': 0, 'away_team_id': 51, 'home_team_id': 55}, {'away': 'Athletic Club', 'date': '2021-05-22T16:00:00+00:00', 'home': 'Elche', 'score': '2-0', 'event_id': 323640, 'away_score': 0, 'home_score': 2, 'away_team_id': 51, 'home_team_id': 55}, {'away': 'Elche', 'date': '2021-01-03T13:00:00+00:00', 'home': 'Athletic Club', 'score': '1-0', 'event_id': 323430, 'away_score': 0, 'home_score': 1, 'away_team_id': 55, 'home_team_id': 51}, {'away': 'Athletic Club', 'date': '2020-01-22T18:00:00+00:00', 'home': 'Elche', 'score': '1-1', 'event_id': 287194, 'away_score': 1, 'home_score': 1, 'away_team_id': 51, 'home_team_id': 55}, {'away': 'Athletic Club', 'date': '2015-05-17T17:00:00+00:00', 'home': 'Elche', 'score': '2-3', 'event_id': 396473, 'away_score': 3, 'home_score': 2, 'away_team_id': 51, 'home_team_id': 55}]"
