id,name,country,is_women,is_active,current_season.id,current_season.name,current_season.year,current_season.start_date,current_season.end_date,current_season.is_current
40,Carabao Cup,England,False,True,1092,EFL Cup 26/27,2026,2026-07-01,2027-06-30,True
12,Championship,England,False,True,1111,Championship 26/27,2026,2026-07-01,2027-06-30,True
39,FA Cup,England,False,True,1961,FA Cup 26/27,2026,2026-07-01,2027-06-30,True
86,League One,England,False,True,1655,League One 26/27,2026,2026-07-01,2027-06-30,True
87,League Two,England,False,True,1674,League Two 26/27,2026,2026-07-01,2027-06-30,True
91,National League,England,False,True,1903,National League 26/27,2026,2026-07-01,2027-06-30,True
1,Premier League,England,False,True,1058,Premier League 26/27,2026,2026-07-01,2027-06-30,True
41,Copa del Rey,Spain,False,True,1137,Copa del Rey 25/26,2025,2025-07-01,2026-06-30,True
3,La Liga,Spain,False,True,1307,LaLiga 26/27,2026,2026-07-01,2027-06-30,True
36,Liga F,Spain,True,True,1308,Primera Division Women 26/27,2026,2026-07-01,2027-06-30,True
38,Segunda División,Spain,False,True,1356,LaLiga 2 26/27,2026,2026-07-01,2027-06-30,True
5,Bundesliga,Germany,False,True,1091,Bundesliga 26/27,2026,2026-07-01,2027-06-30,True
43,DFB Pokal,Germany,False,True,1210,DFB Pokal 26/27,2026,2026-07-01,2027-06-30,True
42,Coppa Italia,Italy,False,True,1155,Coppa Italia 26/27,2026,2026-07-01,2027-06-30,True
4,Serie A,Italy,False,True,1375,Serie A 26/27,2026,2026-07-01,2027-06-30,True
44,Coupe de France,France,False,True,1178,Coupe de France 25/26,2025,2025-07-01,2026-06-30,True
6,Ligue 1,France,False,True,1311,Ligue 1 26/27,2026,2026-07-01,2027-06-30,True
89,Ligue 2,France,False,True,1848,Ligue 2 26/27,2026,2026-07-01,2027-06-30,True
